"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1","Albania:ALB","Serbia:SRB",284,30,"ALB","SRB","Coffee, not roasted, not decaffeinated",2010
"2","Albania:ALB","Serbia:SRB",49714,14646,"ALB","SRB","Coffee, not roasted, decaffeinated",2010
"3","Algeria:DZA","France:FRA",375,100,"DZA","FRA","Coffee, not roasted, not decaffeinated",2005
"4","Algeria:DZA","Côte d'Ivoire:CIV",1254,480,"DZA","CIV","Coffee, not roasted, not decaffeinated",2005
"5","Andorra:AND","Spain:ESP",31950,24000,"AND","ESP","Coffee, not roasted, not decaffeinated",2005
"6","Angola:AGO","Lebanon:LBN",57600,36600000,"AGO","LBN","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"7","Angola:AGO","Morocco:MAR",34200,18300000,"AGO","MAR","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"8","Angola:AGO","Portugal:PRT",616870,320535008,"AGO","PRT","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"9","Angola:AGO","Spain:ESP",391788,21180000,"AGO","ESP","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"10","Angola:AGO","Portugal:PRT",310725,160735008,"AGO","PRT","Coffee, not roasted, not decaffeinated",2010
"11","Angola:AGO","Spain:ESP",258900,143350000,"AGO","ESP","Coffee, not roasted, not decaffeinated",2010
"12","Antigua and Barbuda:ATG","Saint Lucia:LCA",1096,10,"ATG","LCA","Coffee, not roasted, not decaffeinated",2015
"13","Antigua and Barbuda:ATG","Saint Vincent and the Grenadines:VCT",2394,49,"ATG","VCT","Coffee, not roasted, not decaffeinated",2015
"14","Antigua and Barbuda:ATG","Saint Lucia:LCA",1739,16,"ATG","LCA","Coffee, not roasted, decaffeinated",2015
"15","Antigua and Barbuda:ATG","Saint Vincent and the Grenadines:VCT",612,16,"ATG","VCT","Coffee, not roasted, decaffeinated",2015
"16","Antigua and Barbuda:ATG","Barbados:BRB",120,328,"ATG","BRB","Coffee, not roasted, not decaffeinated",2005
"17","Argentina:ARG","Uruguay:URY",2433,350,"ARG","URY","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
"18","Argentina:ARG","Uruguay:URY",2958,350,"ARG","URY","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Decaffeinated",2015
"19","Argentina:ARG","Brazil:BRA",8,1,"ARG","BRA","Coffee, not roasted, not decaffeinated",2005
"20","Argentina:ARG","Uruguay:URY",8765,3700,"ARG","URY","Coffee, not roasted, not decaffeinated",2005
"21","Armenia:ARM","Georgia:GEO",517876,262507,"ARM","GEO","Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",2015
