"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1","Algeria:DZA","Bahamas:BHS",22624508,66851908,"DZA","BHS","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"2","Algeria:DZA","China:CHN",87099877,196730916,"DZA","CHN","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"3","Algeria:DZA","France:FRA",1728418829,4703071798,"DZA","FRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"4","Algeria:DZA","Greece:GRC",155472390,346949372,"DZA","GRC","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"5","Algeria:DZA","Italy:ITA",286859909,735064807,"DZA","ITA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"6","Algeria:DZA","Japan:JPN",360596345,872809307,"DZA","JPN","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"7","Algeria:DZA","Rep. of Korea:KOR",86522303,203761792,"DZA","KOR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"8","Algeria:DZA","Malaysia:MYS",24150506,67780188,"DZA","MYS","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"9","Algeria:DZA","Portugal:PRT",52890074,132575529,"DZA","PRT","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"10","Algeria:DZA","Spain:ESP",499663787,1519244683,"DZA","ESP","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"11","Algeria:DZA","Turkey:TUR",1165089396,2860036610,"DZA","TUR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"12","Algeria:DZA","Egypt:EGY",161825271,351590554,"DZA","EGY","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"13","Algeria:DZA","United Kingdom:GBR",56942462,224690474,"DZA","GBR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"14","Algeria:DZA","USA:USA",11591899,33580404,"DZA","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",2015
"15","Algeria:DZA","France:FRA",104722721,14075988,"DZA","FRA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"16","Algeria:DZA","Germany:DEU",320457,49985,"DZA","DEU","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"17","Algeria:DZA","Italy:ITA",2265666358,405772184,"DZA","ITA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"18","Algeria:DZA","Mauritania:MRT",52823542,7352745,"DZA","MRT","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"19","Algeria:DZA","Morocco:MAR",141501519,16234369,"DZA","MAR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"20","Algeria:DZA","Portugal:PRT",318282916,43161839,"DZA","PRT","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"21","Algeria:DZA","Spain:ESP",3507151738,535105684,"DZA","ESP","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"22","Algeria:DZA","Tunisia:TUN",756223172,90980802,"DZA","TUN","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"23","Algeria:DZA","United Kingdom:GBR",67290108,9428994,"DZA","GBR","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"24","Algeria:DZA","USA:USA",425623,56180,"DZA","USA","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - In gaseous state : // -- Natural gas",2015
"25","Algeria:DZA","France:FRA",2385700609,5984487842,"DZA","FRA","Natural gas, liquefied",2010
"26","Algeria:DZA","Greece:GRC",237526706,501095920,"DZA","GRC","Natural gas, liquefied",2010
"27","Algeria:DZA","Italy:ITA",1008922684,2502898052,"DZA","ITA","Natural gas, liquefied",2010
"28","Algeria:DZA","Japan:JPN",21761396,59940411,"DZA","JPN","Natural gas, liquefied",2010
"29","Algeria:DZA","Rep. of Korea:KOR",21685016,59759340,"DZA","KOR","Natural gas, liquefied",2010
"30","Algeria:DZA","Spain:ESP",1384104417,3380472716,"DZA","ESP","Natural gas, liquefied",2010
"31","Algeria:DZA","Turkey:TUR",1443526303,3457997390,"DZA","TUR","Natural gas, liquefied",2010
"32","Algeria:DZA","United Kingdom:GBR",303471852,1153615368,"DZA","GBR","Natural gas, liquefied",2010
"33","Algeria:DZA","France:FRA",73,5,"DZA","FRA","Natural gas, in gaseous state",2010
"34","Algeria:DZA","Germany:DEU",63410717,183541280,"DZA","DEU","Natural gas, in gaseous state",2010
