"","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"1","Andorra:AND","Spain:ESP",5283,53000,"AND","ESP","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"2","Argentina:ARG","Belgium:BEL",871360,1532000,"ARG","BEL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"3","Argentina:ARG","Bolivia (Plurinational State of):BOL",9800,7000,"ARG","BOL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"4","Argentina:ARG","Canada:CAN",852693,1283300,"ARG","CAN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"5","Argentina:ARG","Chile:CHL",30678,24361,"ARG","CHL","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"6","Argentina:ARG","China:CHN",118080,170000,"ARG","CHN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"7","Argentina:ARG","Denmark:DNK",708372,1060000,"ARG","DNK","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"8","Argentina:ARG","Dominican Rep.:DOM",17760,25000,"ARG","DOM","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"9","Argentina:ARG","France:FRA",400343,573150,"ARG","FRA","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"10","Argentina:ARG","Germany:DEU",1539771,2500000,"ARG","DEU","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"11","Argentina:ARG","Italy:ITA",409240,647000,"ARG","ITA","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"12","Argentina:ARG","Japan:JPN",59800,1e+05,"ARG","JPN","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"13","Argentina:ARG","Rep. of Korea:KOR",13020,17500,"ARG","KOR","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
"14","Argentina:ARG","Madagascar:MDG",25200,40000,"ARG","MDG","Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",2010
