"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"1","H3",2010,2010,2010,6,1,2,"Export",8,"Albania","ALB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,30,NA,30,NA,284,NA,NA,0
"2","H3",2010,2010,2010,6,1,2,"Export",8,"Albania","ALB",688,"Serbia","SRB",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,30,NA,30,NA,284,NA,NA,0
"3","H3",2010,2010,2010,6,1,2,"Export",8,"Albania","ALB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,90112,"Coffee, not roasted, decaffeinated",8,"Weight in kilograms",NA,NA,14646,NA,14646,NA,49714,NA,NA,0
"4","H3",2010,2010,2010,6,1,2,"Export",8,"Albania","ALB",688,"Serbia","SRB",NA,NA,NA,NA,NA,NA,NA,90112,"Coffee, not roasted, decaffeinated",8,"Weight in kilograms",NA,NA,14646,NA,14646,NA,49714,NA,NA,0
"5","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,580,NA,580,NA,1629,NA,NA,0
"6","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,100,NA,100,NA,375,NA,NA,0
"7","H2",2005,2005,2005,6,1,2,"Export",12,"Algeria","DZA",384,"Côte d'Ivoire","CIV",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,480,NA,480,NA,1254,NA,NA,0
"8","H2",2005,2005,2005,6,1,2,"Export",20,"Andorra","AND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,24000,NA,24000,NA,31950,NA,NA,0
"9","H2",2005,2005,2005,6,1,2,"Export",20,"Andorra","AND",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, not roasted, not decaffeinated",8,"Weight in kilograms",NA,NA,24000,NA,24000,NA,31950,NA,NA,0
"10","H4",2015,2015,2015,6,1,2,"Export",24,"Angola","AGO",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,"Weight in kilograms",NA,NA,396615008,NA,396615008,NA,1100458,NA,NA,0
"11","H4",2015,2015,2015,6,1,2,"Export",24,"Angola","AGO",422,"Lebanon","LBN",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,"Weight in kilograms",NA,NA,36600000,NA,36600000,NA,57600,NA,NA,0
"12","H4",2015,2015,2015,6,1,2,"Export",24,"Angola","AGO",504,"Morocco","MAR",NA,NA,NA,NA,NA,NA,NA,90111,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee, not roasted : // -- Not decaffeinated",8,"Weight in kilograms",NA,NA,18300000,NA,18300000,NA,34200,NA,NA,0
