"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"1","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,12314738342,NA,12314738342,NA,4699747556,NA,NA,0
"2","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",44,"Bahamas","BHS",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,66851908,NA,66851908,NA,22624508,NA,NA,0
"3","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,196730916,NA,196730916,NA,87099877,NA,NA,0
"4","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,4703071798,NA,4703071798,NA,1728418829,NA,NA,0
"5","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",300,"Greece","GRC",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,346949372,NA,346949372,NA,155472390,NA,NA,0
"6","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,735064807,NA,735064807,NA,286859909,NA,NA,0
"7","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",392,"Japan","JPN",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,872809307,NA,872809307,NA,360596345,NA,NA,0
"8","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",410,"Rep. of Korea","KOR",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,203761792,NA,203761792,NA,86522303,NA,NA,0
"9","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",458,"Malaysia","MYS",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,67780188,NA,67780188,NA,24150506,NA,NA,0
"10","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",620,"Portugal","PRT",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,132575529,NA,132575529,NA,52890074,NA,NA,0
"11","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,1519244683,NA,1519244683,NA,499663787,NA,NA,0
"12","H4",2015,2015,2015,6,1,2,"Export",12,"Algeria","DZA",792,"Turkey","TUR",NA,NA,NA,NA,NA,NA,NA,271111,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes // Petroleum gases and other gaseous hydrocarbons. // - Liquefied : // -- Natural gas",8,"Weight in kilograms",NA,NA,2860036610,NA,2860036610,NA,1165089396,NA,NA,0
