"","Classification","Year","Period","Period_Desc_","Aggregate_Level","Is_Leaf_Code","Trade_Flow_Code","Trade_Flow","Reporter_Code","Reporter","Reporter_ISO","Partner_Code","Partner","Partner_ISO","X2nd_Partner_Code","X2nd_Partner","X2nd_Partner_ISO","Customs_Proc__Code","Customs","Mode_of_Transport_Code","Mode_of_Transport","Commodity_Code","Commodity","Qty_Unit_Code","Qty_Unit","Qty","Alt_Qty_Unit_Code","Alt_Qty_Unit","Alt_Qty","Netweight__kg_","Gross_weight__kg_","Trade_Value__US__","CIF_Trade_Value__US__","FOB_Trade_Value__US__","Flag"
"1","H3",2010,2010,2010,6,1,2,"Export",20,"Andorra","AND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,53000,NA,53000,NA,5283,NA,NA,0
"2","H3",2010,2010,2010,6,1,2,"Export",20,"Andorra","AND",724,"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,53000,NA,53000,NA,5283,NA,NA,0
"3","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,167779512,NA,167779512,NA,80639926,NA,NA,0
"4","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",56,"Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,1532000,NA,1532000,NA,871360,NA,NA,0
"5","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,7000,NA,7000,NA,9800,NA,NA,0
"6","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",124,"Canada","CAN",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,1283300,NA,1283300,NA,852693,NA,NA,0
"7","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",152,"Chile","CHL",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,24361,NA,24361,NA,30678,NA,NA,0
"8","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,170000,NA,170000,NA,118080,NA,NA,0
"9","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",208,"Denmark","DNK",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,1060000,NA,1060000,NA,708372,NA,NA,0
"10","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",214,"Dominican Rep.","DOM",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,25000,NA,25000,NA,17760,NA,NA,0
"11","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",251,"France","FRA",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,573150,NA,573150,NA,400343,NA,NA,0
"12","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,2500000,NA,2500000,NA,1539771,NA,NA,0
"13","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",381,"Italy","ITA",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,647000,NA,647000,NA,409240,NA,NA,0
"14","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",392,"Japan","JPN",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,1e+05,NA,1e+05,NA,59800,NA,NA,0
"15","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",410,"Rep. of Korea","KOR",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,17500,NA,17500,NA,13020,NA,NA,0
"16","H3",2010,2010,2010,6,1,2,"Export",32,"Argentina","ARG",450,"Madagascar","MDG",NA,NA,NA,NA,NA,NA,NA,170111,"Cane sugar, raw, in solid form, not containing added flavouring/colouring matter",8,"Weight in kilograms",NA,NA,40000,NA,40000,NA,25200,NA,NA,0
